player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
9261,401353224,32.0,32.0,0,0,0.2,-0.13,-0.08,0.86,0.65,0.85
5548,401353224,18.0,18.0,0,1,0.36,0.75,0.31,0.18,1.24,1.6
4989,401353224,0.0,91.0,0,0,-0.56,0.74,-1.09,0.37,0.02,-0.54
6015,401353224,0.0,91.0,0,0,-1.46,-1.86,-0.02,0.8,-1.08,-2.54
3832,401353224,0.0,91.0,0,0,0.53,-0.36,-1.39,0.19,-1.56,-1.04
5502,401353224,0.0,91.0,0,0,-0.97,0.14,-2.02,0.31,-1.56,-2.54
10906,401353224,26.0,26.0,0,1,2.05,0.74,-1.32,-0.12,-0.7,1.35
10372,401353224,26.0,26.0,0,1,-0.96,-0.01,1.84,0.48,2.31,1.35
388,401353224,67.0,67.0,0,0,-0.82,-1.79,2.0,-1.04,-0.83,-1.65
9484,401353224,0.0,91.0,0,0,-1.89,-0.71,0.71,-0.65,-0.65,-2.54
9127,401353224,45.0,45.0,0,0,0.28,-0.02,-0.18,0.26,0.07,0.35
10577,401353224,2.0,2.0,1,0,1.16,0.05,1.96,0.18,2.19,3.35
9584,401353224,0.0,91.0,0,0,-0.94,-1.58,-1.41,-0.61,-3.6,-4.54
1225,401353224,18.0,18.0,0,1,0.12,0.66,0.17,0.65,1.48,1.6
4780,401353224,0.0,91.0,0,0,-0.93,0.21,-1.4,-0.42,-1.6,-2.54
1651,401353224,1.0,1.0,1,0,0.95,1.31,1.25,0.84,3.39,4.35
6011,401353224,32.0,32.0,0,0,1.94,0.43,-1.5,-0.03,-1.09,0.85
1222,401353224,60.0,60.0,0,0,1.12,0.25,-1.1,-0.92,-1.77,-0.65
3596,401353224,10.0,10.0,1,0,0.2,-0.22,1.26,0.86,1.9,2.1
4355673,401353224,69.0,69.0,0,0,-2.44,0.3,0.12,0.12,0.54,-1.9
11098,401353224,0.0,91.0,0,0,-0.27,0.0,-1.63,0.36,-1.27,-1.54
9126,401353224,13.0,13.0,0,1,-0.24,-0.47,2.03,0.53,2.09,1.85
10863,401353224,53.0,53.0,0,0,0.19,-0.88,0.88,-0.6,-0.59,-0.4
205,401353224,0.0,91.0,0,0,-0.2,-0.47,0.14,0.0,-0.34,-0.54
208,401353224,18.0,18.0,0,1,0.52,-0.36,1.03,0.4,1.08,1.6
5724,401353224,67.0,67.0,0,0,-1.4,-0.98,0.53,0.19,-0.26,-1.65
3449,401353224,53.0,53.0,0,0,-0.02,0.45,-1.28,0.45,-0.38,-0.4
10910,401353224,0.0,91.0,0,0,-3.48,-0.1,1.35,-0.3,0.94,-2.54
10592,401353224,0.0,91.0,0,0,-0.41,-1.99,0.51,0.86,-0.62,-1.04
5532,401353224,64.0,64.0,0,0,0.88,-0.44,-0.8,-0.55,-1.78,-0.9
6017,401353224,53.0,53.0,0,0,-0.36,0.21,0.79,-1.05,-0.04,-0.4
9131,401353224,13.0,13.0,0,1,0.75,1.38,0.17,-0.49,1.01,1.76
4645,401353224,48.0,48.0,0,0,-0.18,0.35,-0.67,0.59,0.28,0.1
1264,401353224,53.0,53.0,0,0,-0.71,0.52,0.01,-0.22,0.31,-0.4
4425906,401353224,60.0,60.0,0,0,-0.68,0.32,-1.18,0.89,0.03,-0.65
9025,401353224,5.0,5.0,1,0,1.65,-0.5,1.34,0.1,0.95,2.6
11456,401353224,60.0,60.0,0,0,-0.6,-1.17,0.41,0.71,-0.05,-0.65
3950,401353224,0.0,91.0,0,0,-1.75,-0.65,1.11,0.75,1.21,-0.54
5574,401353224,48.0,48.0,0,0,0.09,-0.8,1.05,-0.24,0.01,0.1
6701,401353224,37.0,37.0,0,0,0.46,0.27,0.31,-0.43,0.14,0.6
10054,401353224,5.0,5.0,1,0,1.21,1.76,0.53,-0.71,1.55,2.76
10058,401353224,13.0,13.0,0,1,0.73,0.12,1.28,-0.29,1.12,1.85
4304,401353224,0.0,91.0,0,0,-1.14,0.55,-1.71,-0.74,-1.9,-3.04
5882,401353224,32.0,32.0,0,0,-0.48,1.04,-1.0,1.28,1.32,0.85
1483,401353224,26.0,26.0,0,1,0.59,0.7,0.57,-0.51,0.76,1.35
11393,401353224,18.0,18.0,0,1,0.81,-0.99,1.68,0.1,0.79,1.6
3550,401353224,0.0,91.0,0,0,-1.19,-0.24,-0.86,0.75,-0.35,-1.54
5408,401353224,0.0,91.0,0,0,0.21,-0.03,-1.49,-2.73,-4.25,-4.04
5504,401353224,0.0,91.0,0,0,-0.31,-3.01,1.18,-0.39,-2.23,-2.54
6196,401353224,32.0,32.0,0,0,0.26,0.36,-0.2,0.42,0.59,0.85
1680,401353224,31.0,31.0,0,0,1.04,0.81,-0.87,0.13,0.06,1.1
110,401353224,0.0,91.0,0,0,0.04,-0.34,-1.47,-0.26,-2.08,-2.04
11099,401353224,3.0,3.0,1,0,0.67,-0.57,1.58,1.18,2.18,2.85
4691933,401353224,0.0,91.0,0,0,-1.51,-0.47,-0.96,-0.59,-2.02,-3.54
10505,401353224,37.0,37.0,0,0,0.7,-0.42,0.61,-0.3,-0.1,0.6
9780,401353224,10.0,10.0,1,0,1.4,0.48,0.72,-0.51,0.7,2.1
5467,401353224,18.0,18.0,0,1,1.26,0.64,-0.67,0.37,0.34,1.6
1030,401353224,37.0,37.0,0,0,-0.28,0.11,0.46,0.3,0.88,0.6
4513,401353224,37.0,37.0,0,0,0.85,-0.52,0.07,0.2,-0.25,0.6
10363,401353224,64.0,64.0,0,0,-0.94,0.61,-0.61,0.05,0.04,-0.9
10364,401353224,0.0,91.0,0,0,-0.15,-0.28,-1.01,0.91,-0.39,-0.54
7083,401353224,53.0,53.0,0,0,-1.06,0.1,0.75,-0.19,0.66,-0.4
8906,401353224,18.0,18.0,0,1,0.65,0.61,-0.19,0.52,0.95,1.6
1077,401353224,0.0,91.0,0,0,-1.94,-0.66,0.76,0.29,0.4,-1.54
601,401353224,0.0,91.0,0,0,1.82,-0.36,-0.91,-1.09,-2.36,-0.54
676,401353224,60.0,60.0,0,0,0.1,-0.41,-0.64,0.29,-0.76,-0.65
5962,401353224,51.0,51.0,0,0,-0.02,0.64,0.1,-0.87,-0.13,-0.15
10343,401353224,48.0,48.0,0,0,0.67,0.87,-1.14,-0.3,-0.57,0.1
1059,401353224,26.0,26.0,0,1,0.68,0.52,0.31,-0.17,0.67,1.35
9037,401353224,0.0,91.0,0,0,-3.79,0.94,1.13,1.18,3.25,-0.54
8973,401353224,5.0,5.0,1,0,1.09,0.67,0.73,0.11,1.51,2.6
6931,401353224,37.0,37.0,0,0,0.34,0.87,0.46,-1.07,0.26,0.6
1367,401353224,0.0,91.0,0,0,-2.38,-0.87,1.34,0.38,0.84,-1.54
257,401353224,45.0,45.0,0,0,0.86,0.34,-0.35,-0.51,-0.51,0.35
2571,401353224,37.0,37.0,0,0,-0.44,0.61,0.46,-0.03,1.04,0.6
3351,401353224,0.0,91.0,0,0,0.78,-0.8,-1.39,-0.12,-2.31,-1.54
6954,401353224,37.0,37.0,0,0,0.1,-0.24,0.63,0.11,0.5,0.6
9931,401353224,13.0,13.0,0,1,-0.53,0.42,1.12,0.84,2.38,1.85
4412121,401353224,0.0,91.0,0,0,1.05,0.28,-1.91,-0.45,-2.09,-1.04
1600,401353224,0.0,91.0,0,0,0.37,-1.27,-1.77,1.13,-1.91,-1.54
1042,401353224,0.0,91.0,0,0,-1.04,-1.02,-0.97,-3.01,-5.0,-6.04
6007,401353224,3.0,3.0,1,0,1.09,0.26,0.79,0.7,1.76,2.85
3980,401353224,0.0,91.0,0,0,-2.73,-1.06,0.29,-1.54,-2.31,-5.04
5692,401353224,0.0,91.0,0,0,0.85,0.39,-3.11,-0.17,-2.89,-2.04
707,401353224,26.0,26.0,0,1,0.3,0.8,0.69,-0.45,1.05,1.35
5579,401353224,53.0,53.0,0,0,-0.48,0.85,-0.64,-0.13,0.08,-0.4
6825,401353224,0.0,91.0,0,0,-0.46,-0.64,-1.34,0.91,-1.08,-1.54
1548,401353224,0.0,91.0,0,0,-0.32,-1.57,-2.5,-0.65,-4.71,-5.04
4321,401353224,0.0,91.0,0,0,0.82,1.16,-2.13,-0.88,-1.85,-1.04
3702,401353224,64.0,64.0,0,0,-0.8,-0.28,0.01,0.16,-0.1,-0.9
4483,401353224,0.0,91.0,0,0,-1.74,-0.78,-1.57,-1.45,-3.8,-5.54
809,401353224,70.0,70.0,0,0,-0.73,-0.61,-0.54,-0.78,-1.92,-2.65
962,401353224,0.0,91.0,0,0,-0.98,-0.62,-4.04,-1.4,-6.06,-7.04
5619,401353224,0.0,91.0,0,0,0.13,-0.94,-0.45,0.73,-0.66,-0.54
78,401353224,0.0,91.0,0,0,0.99,-1.23,-3.01,0.21,-4.03,-3.04
11382,401353224,10.0,10.0,1,0,0.38,0.15,0.91,0.66,1.72,2.1
7081,401353224,13.0,13.0,0,1,0.35,0.94,0.1,0.46,1.49,1.85
4587,401353224,32.0,32.0,0,0,0.18,0.5,0.32,-0.15,0.67,0.85
6001,401353224,0.0,91.0,0,0,-1.97,-0.09,0.64,0.38,0.94,-1.04
7001,401353224,0.0,91.0,0,0,-1.64,-0.05,0.66,0.5,1.1,-0.54
3378,401353224,0.0,91.0,0,0,-1.98,-0.16,-0.78,-0.12,-1.06,-3.04
8961,401353224,45.0,45.0,0,0,0.81,-0.52,0.0,0.06,-0.46,0.35
10980,401353224,5.0,5.0,1,0,0.06,0.4,1.48,0.65,2.54,2.6
6086,401353224,0.0,91.0,0,0,0.07,-1.16,0.12,-0.57,-1.6,-1.54
3970,401353224,53.0,53.0,0,0,0.0,0.17,-0.55,-0.03,-0.4,-0.4
10664,401353224,0.0,91.0,0,0,-0.31,-1.18,-0.75,-0.8,-2.73,-3.04
4364873,401353224,51.0,51.0,0,0,1.46,-1.49,-0.22,0.1,-1.61,-0.15
11119,401353224,37.0,37.0,0,0,0.03,1.07,0.04,-0.54,0.57,0.6
3532,401353224,0.0,91.0,0,0,0.17,-0.66,-0.34,0.29,-0.7,-0.54
9877,401353224,5.0,5.0,1,0,0.37,-0.13,1.19,1.16,2.23,2.6
10140,401353224,18.0,18.0,0,1,-0.35,0.7,1.88,-0.63,1.95,1.6
9261,401353225,0.0,91.0,0,0,-1.17,0.58,-0.36,0.24,0.47,-0.7
6015,401353225,35.0,35.0,0,0,-0.58,0.04,1.49,-0.33,1.2,0.62
5502,401353225,15.0,15.0,0,1,1.08,0.98,-0.1,-0.34,0.54,1.62
10906,401353225,68.0,68.0,0,0,-0.6,-0.34,-0.05,-0.39,-0.78,-1.38
10372,401353225,0.0,91.0,0,0,0.62,0.17,-1.5,0.01,-1.32,-0.7
9484,401353225,27.0,27.0,0,1,0.01,1.13,-0.39,0.13,0.86,0.87
9127,401353225,40.0,40.0,0,0,0.39,-0.76,0.54,0.2,-0.02,0.37
774,401353225,27.0,27.0,0,1,0.94,0.07,-0.24,0.11,-0.07,0.87
1225,401353225,0.0,91.0,0,0,-0.04,0.96,-2.04,-0.08,-1.16,-1.2
1651,401353225,0.0,91.0,0,0,-0.22,-0.5,-0.78,0.31,-0.97,-1.2
6011,401353225,21.0,21.0,0,1,-0.25,0.56,0.68,0.39,1.63,1.37
1222,401353225,57.0,57.0,0,0,-0.12,0.01,0.82,-1.09,-0.26,-0.38
3599,401353225,0.0,91.0,0,0,-1.04,0.67,-0.61,-0.22,-0.15,-1.2
3454,401353225,3.0,3.0,1,0,1.33,0.49,0.39,0.66,1.54,2.87
4355673,401353225,0.0,91.0,0,0,-2.0,-0.19,-1.87,0.36,-1.69,-3.7
9243,401353225,15.0,15.0,0,1,0.92,-0.57,1.3,-0.03,0.71,1.62
10863,401353225,7.0,7.0,1,0,0.52,0.47,0.81,0.33,1.6,2.12
205,401353225,66.0,66.0,0,0,-1.53,-0.54,0.95,0.24,0.65,-0.88
3449,401353225,15.0,15.0,0,1,0.54,0.63,0.03,0.42,1.08,1.62
10592,401353225,40.0,40.0,0,0,-0.86,0.21,1.41,-0.39,1.23,0.37
5532,401353225,0.0,91.0,0,0,1.31,-0.17,-1.77,-0.06,-2.0,-0.7
6017,401353225,52.0,52.0,0,0,0.75,-0.74,0.54,-0.68,-0.88,-0.13
769,401353225,27.0,27.0,0,1,-0.55,0.41,0.41,0.6,1.42,0.87
4645,401353225,0.0,91.0,0,0,-0.81,-0.49,-0.78,0.38,-0.89,-1.7
1264,401353225,0.0,91.0,0,0,-0.66,0.49,-0.72,0.2,-0.04,-0.7
9025,401353225,23.0,23.0,0,1,-0.53,0.96,0.53,0.17,1.66,1.12
5167,401353225,35.0,35.0,0,0,0.23,-0.23,0.34,0.28,0.39,0.62
11456,401353225,0.0,91.0,0,0,-2.35,-1.65,-1.19,-0.01,-2.85,-5.2
3950,401353225,23.0,23.0,0,1,1.67,0.73,-0.91,-0.37,-0.54,1.12
6701,401353225,48.0,48.0,0,0,0.55,-0.38,0.02,-0.06,-0.42,0.12
10054,401353225,27.0,27.0,0,1,1.22,0.01,-0.1,-0.25,-0.35,0.87
11448,401353225,0.0,91.0,0,0,-0.81,-1.6,0.22,-0.01,-1.39,-2.2
10058,401353225,4.0,4.0,1,0,0.51,0.28,1.91,-0.09,2.11,2.62
646,401353225,0.0,91.0,0,0,0.72,-1.74,-1.18,-0.99,-3.91,-3.2
5882,401353225,63.0,63.0,0,0,-0.83,-0.15,0.06,0.29,0.2,-0.63
11393,401353225,0.0,91.0,0,0,-1.72,-0.99,-0.29,0.3,-0.98,-2.7
11333,401353225,0.0,91.0,0,0,-1.32,-1.03,0.32,-0.17,-0.88,-2.2
3550,401353225,0.0,91.0,0,0,-1.07,-0.59,-0.16,0.12,-0.63,-1.7
4364752,401353225,0.0,91.0,0,0,-0.75,-0.08,-3.02,0.15,-2.95,-3.7
4844,401353225,69.0,69.0,0,0,-0.39,0.22,-1.28,-1.42,-2.48,-2.88
6991,401353225,27.0,27.0,0,1,0.4,0.61,0.09,-0.23,0.47,0.87
619,401353225,40.0,40.0,0,0,1.29,0.12,-1.31,0.28,-0.92,0.37
6196,401353225,63.0,63.0,0,0,-0.42,-0.46,0.37,-0.12,-0.2,-0.63
110,401353225,0.0,91.0,0,0,-0.76,0.44,-0.1,-0.78,-0.44,-1.2
5025,401353225,0.0,91.0,0,0,-0.53,-0.52,-3.2,0.06,-3.66,-4.2
5797,401353225,12.0,12.0,0,1,-0.32,0.93,0.88,0.38,2.19,1.87
3317,401353225,67.0,67.0,0,0,-0.86,-1.23,0.45,0.51,-0.27,-1.13
4691933,401353225,0.0,91.0,0,0,-1.26,-0.92,-0.85,-0.67,-2.44,-3.7
10505,401353225,0.0,91.0,0,0,-0.07,-0.54,0.04,-1.63,-2.13,-2.2
569,401353225,0.0,91.0,0,0,-0.84,0.71,-0.82,-0.25,-0.36,-1.2
